timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769927009578,685,Home Page,301,Moved Permanently,TG1_Basic_Safe 1-1,text,true,,1650,186,2,6,https://vi.wikipedia.org/,683,0,596
1769927009578,930,Random Page,302,Found,TG3_Duration_Safe 3-1,text,true,,1663,244,2,6,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,930,0,596
1769927009578,1038,Search Page,200,OK,TG2_Search_Safe 2-1,text,true,,289864,242,2,7,https://vi.wikipedia.org/wiki/Java_(ngôn_ngữ_lập_trình),683,0,596
1769927010522,249,Home Page,301,Moved Permanently,TG1_Basic_Safe 1-2,text,true,,1650,186,3,6,https://vi.wikipedia.org/,249,0,149
1769927010527,450,Random Page,302,Found,TG3_Duration_Safe 3-2,text,true,,1670,244,2,6,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,450,0,144
1769927011267,278,Home Page,301,Moved Permanently,TG1_Basic_Safe 1-1,text,true,,1650,186,4,7,https://vi.wikipedia.org/,278,0,212
1769927011521,194,Home Page,301,Moved Permanently,TG1_Basic_Safe 1-3,text,true,,1650,186,3,6,https://vi.wikipedia.org/,194,0,127
1769927011193,583,Search Page,200,OK,TG2_Search_Safe 2-2,text,true,,289864,242,1,6,https://vi.wikipedia.org/wiki/Java_(ngôn_ngữ_lập_trình),370,0,287
1769927011510,427,Random Page,302,Found,TG3_Duration_Safe 3-1,text,true,,1658,244,2,6,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,427,0,112
1769927011772,174,Home Page,301,Moved Permanently,TG1_Basic_Safe 1-2,text,true,,1650,186,3,6,https://vi.wikipedia.org/,174,0,112
1769927011978,461,Random Page,302,Found,TG3_Duration_Safe 3-2,text,true,,1664,244,2,5,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,461,0,122
1769927012520,202,Home Page,301,Moved Permanently,TG1_Basic_Safe 1-4,text,true,,1650,186,3,6,https://vi.wikipedia.org/,202,0,132
1769927012716,164,Home Page,301,Moved Permanently,TG1_Basic_Safe 1-3,text,true,,1650,186,3,6,https://vi.wikipedia.org/,164,0,109
1769927012861,409,Search Page,200,OK,TG2_Search_Safe 2-3,text,true,,289864,242,1,5,https://vi.wikipedia.org/wiki/Java_(ngôn_ngữ_lập_trình),183,0,116
1769927012938,441,Random Page,302,Found,TG3_Duration_Safe 3-1,text,true,,1665,244,2,4,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,441,0,115
1769927013520,172,Home Page,301,Moved Permanently,TG1_Basic_Safe 1-5,text,true,,1650,186,2,4,https://vi.wikipedia.org/,172,0,113
1769927013440,446,Random Page,302,Found,TG3_Duration_Safe 3-2,text,true,,1672,244,2,4,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,446,0,110
1769927013722,190,Home Page,301,Moved Permanently,TG1_Basic_Safe 1-4,text,true,,1650,186,2,4,https://vi.wikipedia.org/,190,0,122
1769927014380,450,Random Page,302,Found,TG3_Duration_Safe 3-1,text,true,,1669,244,2,3,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,450,0,118
1769927014693,184,Home Page,301,Moved Permanently,TG1_Basic_Safe 1-5,text,true,,1650,186,1,3,https://vi.wikipedia.org/,184,0,119
1769927014886,438,Random Page,302,Found,TG3_Duration_Safe 3-2,text,true,,1665,244,2,2,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,438,0,114
1769927015831,445,Random Page,302,Found,TG3_Duration_Safe 3-1,text,true,,1665,244,2,2,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,445,0,126
1769927016325,425,Random Page,302,Found,TG3_Duration_Safe 3-2,text,true,,1660,244,2,2,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,425,0,121
1769927017276,446,Random Page,302,Found,TG3_Duration_Safe 3-1,text,true,,1663,244,2,2,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,446,0,125
1769927017751,452,Random Page,302,Found,TG3_Duration_Safe 3-2,text,true,,1663,244,2,2,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,452,0,119
1769927018723,453,Random Page,302,Found,TG3_Duration_Safe 3-1,text,true,,1661,244,2,2,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,453,0,119
1769927019204,470,Random Page,302,Found,TG3_Duration_Safe 3-2,text,true,,1662,244,2,2,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,470,0,125
1769927020177,630,Random Page,302,Found,TG3_Duration_Safe 3-1,text,true,,1658,244,2,2,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,630,0,219
1769927020675,545,Random Page,302,Found,TG3_Duration_Safe 3-2,text,true,,1678,244,2,2,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,545,0,233
1769927021808,548,Random Page,302,Found,TG3_Duration_Safe 3-1,text,true,,1667,244,2,2,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,548,0,227
1769927022221,631,Random Page,302,Found,TG3_Duration_Safe 3-2,text,true,,1660,244,2,2,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,631,0,224
1769927023357,622,Random Page,302,Found,TG3_Duration_Safe 3-1,text,true,,1674,244,1,1,https://vi.wikipedia.org/wiki/Đặc_biệt:Ngẫu_nhiên,622,0,213
